accession,headers,abundance
GCF_000025985.1,"NC_003228.3 Bacteroides fragilis NCTC 9343, complete sequence; NC_006873.1 Bacteroides fragilis NCTC 9343 plasmid pBF9343, complete sequence",0.4
GCF_000196555.1,"NC_015067.1 Bifidobacterium longum subsp. longum JCM 1217, complete sequence",0.05
GCF_001953955.1,"NZ_CP019300.1 Prevotella intermedia ATCC 25611 = DSM 20706 strain ATCC 25611 chromosome I, complete sequence; NZ_CP019301.1 Prevotella intermedia ATCC 25611 = DSM 20706 strain ATCC 25611 chromosome II, complete sequence",0.04
GCF_009731575.1,"NZ_AP021898.1 Akkermansia muciniphila strain JCM 30893 chromosome, complete genome; NZ_AP021899.1 Akkermansia muciniphila strain JCM 30893 plasmid pJ30893, complete sequence",0.08
GCF_025147765.1,"NZ_CP102265.1 Blautia obeum ATCC 29174 chromosome, complete genome",0.15
GCF_029024925.1,"NZ_CP118962.1 Enterococcus faecalis strain DSM 20478 chromosome, complete genome",0.06
GCF_049532935.1,"NZ_CP186690.1 Faecalibacterium prausnitzii strain 5 chromosome, complete genome",0.2
GCF_900537995.1,"NZ_LR027880.1 Roseburia intestinalis L1-82 chromosome 1, complete sequence",0.02



if one accession is composed by multiple sequences: the separate sequences will be separated by ";"
